time,deterioration rate,Pf_comp_0,Pf_comp_1,Pf_comp_2,Pf_comp_3,Pf_comp_4,Pf_comp_5,Pf_comp_6,Pf_comp_7,Pf_comp_8,Pf_comp_9,Pf_comp_10,Pf_system
45.0,14.65889731712232,0.020720999999999993,0.022007999999999996,0.02531499999999999,0.021492999999999995,0.014402999999999997,0.01813399999999999,0.002387999999999999,0.0019009999999999993,0.018055999999999992,0.02087799999999999,0.041470999999999994,0.18887903070059686
46.0,15.150231867059198,0.023419999999999993,0.02422999999999999,0.028085999999999993,0.023846999999999993,0.016056999999999995,0.01986299999999999,0.0026489999999999994,0.0021359999999999994,0.019947999999999994,0.023311999999999992,0.046021999999999987,0.20764380816741368
47.0,15.64693645932325,0.02721899999999999,0.02735299999999999,0.03200599999999999,0.02718299999999999,0.018593999999999996,0.02226999999999999,0.0029999999999999988,0.0024839999999999997,0.022563999999999994,0.026741999999999988,0.052057999999999986,0.23324802228624464
48.0,16.148953652047453,0.03104899999999999,0.030569999999999993,0.035975,0.030624999999999993,0.021239999999999995,0.02477599999999999,0.003353999999999999,0.002894999999999999,0.02524799999999999,0.030200999999999992,0.05810799999999998,0.258625281033252
49.0,16.656227808240377,0.035633999999999985,0.034499999999999996,0.04089199999999999,0.03468599999999999,0.024257999999999995,0.027640999999999992,0.003766999999999999,0.0032999999999999987,0.02831199999999999,0.034356999999999985,0.06498199999999998,0.2875068166228477
50.0,17.168705003199296,0.040699999999999986,0.03892799999999999,0.046274999999999976,0.03933899999999999,0.027800999999999992,0.031027999999999993,0.004243999999999999,0.003896999999999999,0.031889999999999995,0.038981999999999996,0.07283899999999999,0.3191700422735603
51.0,17.686332938439488,0.04550499999999998,0.04319999999999999,0.05133599999999998,0.04370999999999998,0.03141099999999999,0.034325999999999995,0.004738999999999998,0.004468999999999998,0.03535499999999999,0.043347999999999984,0.08012599999999998,0.34820871441349
52.0,18.20906086156171,0.05177299999999999,0.048398999999999984,0.05766699999999998,0.049411999999999984,0.03590199999999999,0.03836699999999999,0.005230999999999998,0.005102999999999997,0.039671999999999985,0.04899999999999999,0.08940499999999997,0.3832343059563562
53.0,18.736839491541218,0.06010999999999998,0.05577799999999999,0.06632099999999996,0.05740099999999998,0.04243399999999999,0.04413099999999998,0.0060779999999999975,0.006264999999999998,0.04562399999999998,0.05660899999999997,0.10128299999999997,0.4286530821252773
54.0,19.269620948975653,0.06736899999999996,0.062184999999999976,0.07370399999999998,0.06415899999999998,0.048351999999999985,0.049176999999999985,0.006791999999999998,0.007178999999999998,0.050870999999999986,0.06311599999999998,0.11161299999999998,0.46558416225700905
